City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,prado,-17.3411,-39.2208,23.46,92,2,1.43,BR,1701927857
83,santana,-0.0583,-51.1817,26.1,94,75,1.54,BR,1701927858
84,stanley,54.868,-1.6985,4.32,87,40,4.12,GB,1701927859
85,kogalym,62.2654,74.4791,-32.71,91,10,4.23,RU,1701927860
86,klyuchi,52.2667,79.1667,-15.74,70,100,5.87,RU,1701927861
87,hawaiian paradise park,19.5933,-154.9731,22.16,93,75,2.06,US,1701927861
88,jaguey grande,22.5269,-81.1286,17.94,63,90,3.71,CU,1701927862
89,puerto ayora,-0.7393,-90.3518,23.84,85,77,3.35,EC,1701927863
90,hithadhoo,-0.6,73.0833,27.39,78,94,3.82,MV,1701927864
91,mormugao,15.4,73.8,29.59,54,20,3.6,IN,1701927865
92,pisco,-13.7,-76.2167,19.03,88,0,4.63,PE,1701927866
93,torit,4.4133,32.5678,29.99,42,21,1.45,SS,1701927867
94,loa janan,-0.583,117.095,30.31,82,77,1.22,ID,1701927868
95,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.37,PT,1701927869
96,invercargill,-46.4,168.35,12.83,63,98,6.7,NZ,1701927870
97,el alto,-4.2714,-81.2147,20.3,80,79,5.38,PE,1701927871
98,sitka,57.0531,-135.33,4.94,75,75,4.12,US,1701927872
99,natal,-5.795,-35.2094,26.12,78,20,4.12,BR,1701927873
100,saint-pierre,-21.3393,55.4781,27.82,69,100,6.17,RE,1701927874
101,port mathurin,-19.6833,63.4167,26.29,76,15,3.14,MU,1701927874
102,tahoua,14.8888,5.2692,19.23,18,33,4.62,NE,1701927875
103,rio grande,-32.035,-52.0986,19.41,94,90,3.07,BR,1701927753
104,uttarkashi,30.7333,78.45,20.53,29,0,1.44,IN,1701927878
105,san patricio,28.017,-97.5169,18.92,85,100,3.3,US,1701927879
106,minot air force base,48.4209,-101.3391,1.66,89,75,2.57,US,1701927880
107,howrah,22.5892,88.3103,20.0,88,100,2.57,IN,1701927881
108,smithers,54.7804,-127.1743,-2.82,100,100,0.0,CA,1701927882
109,rongelap,11.1635,166.8941,27.49,81,100,9.87,MH,1701927883
110,codrington,-38.2667,141.9667,19.26,46,44,5.6,AU,1701927885
111,kapuskasing,49.4169,-82.4331,-4.95,93,100,4.12,CA,1701927886
112,ambon,-3.6954,128.1814,32.08,58,40,6.17,ID,1701927887
113,bonthe,7.5264,-12.505,24.94,92,12,1.8,SL,1701927888
114,mabamba,-3.5983,30.5019,20.22,84,74,0.84,TZ,1701927890
